Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
 Afghanistan,8151,8892,9830,10998,12431,14133,15045,13120,13569,19446,22462,26335,29121,32565,36644,41118,45665,50195,54717,59256,63796
 Albania,1228,1393,1624,1884,2157,2402,2672,2957,3245,3159,3159,3025,2987,3030,3075,3105,3103,3063,2994,2913,2825
 Algeria,8893,9842,10910,11964,13932,16141,18807,22009,25191,28322,30639,32918,35950,39543,42973,45842,48149,50118,52030,53894,55445
 American Samoa,20,20,21,25,28,30,33,39,48,54,58,57,56,55,54,54,53,52,51,50,50
 Andorra,7,7,9,14,20,27,34,45,53,64,66,77,85,86,86,86,85,83,82,79,75
 Angola,4118,4424,4798,5135,5606,6051,7206,8390,9486,11000,12683,14770,17043,19626,22485,25674,29155,32910,36948,41280,45889
 Anguilla,6,6,6,6,7,7,7,7,9,10,12,14,15,17,19,20,22,23,25,26,27
 Antigua and Barbuda,46,52,55,60,66,69,69,65,65,69,76,82,87,93,99,104,110,114,118,121,123
 Argentina,17151,18928,20617,22284,23963,26082,28370,30672,33036,35274,37336,39182,41344,43432,45379,47165,48796,50273,51574,52663,53512
 Armenia,1356,1566,1869,2206,2520,2835,3134,3465,3530,3131,3101,3085,3072,3057,3022,2962,2884,2796,2699,2590,2469
 Aruba,50,54,58,60,60,60,60,62,64,80,90,97,105,113,120,127,133,138,143,147,151
 Australia,8268,9278,10362,11440,12661,13772,14616,15696,16957,17976,19054,20233,21516,22752,23939,25054,26056,26932,27702,28390,29013
 Austria,6936,6947,7048,7271,7468,7579,7550,7560,7723,8048,8114,8315,8448,8666,8860,8988,9075,9121,9136,9129,9108
 Azerbaijan,2886,3314,3882,4567,5169,5697,6199,6846,7498,8051,8464,8826,9302,9781,10206,10534,10782,10974,11118,11201,11210
 Bahamas,71,88,113,140,171,190,210,229,246,266,283,297,311,325,338,350,359,365,369,372,372
 Bahrain,115,131,157,192,220,259,348,424,506,583,655,916,1181,1347,1506,1580,1639,1701,1759,1806,1848
 Bangladesh,45646,49589,54593,60285,67332,76153,87938,102309,112213,121443,132151,144139,156119,168958,169778,178312,185605,191616,196224,199442,201249
 Barbados,211,228,233,235,239,248,252,258,263,268,274,281,286,291,295,298,298,297,294,289,283
 Belarus,7723,7781,8168,8591,9028,9361,9644,9982,10201,10205,10034,9807,9681,9590,9478,9326,9145,8957,8768,8567,8340
 Belgium,8640,8869,9119,9449,9638,9795,9847,9859,9970,10156,10264,10470,10866,11324,11721,12038,12268,12439,12583,12695,12773
 Belize,66,77,92,107,123,136,145,166,191,218,249,282,315,348,380,412,441,470,496,521,544
 Benin,1673,1847,2056,2311,2620,2996,3459,4031,4706,5647,6620,7778,9057,10449,11957,13565,15249,16971,18703,20425,22119
